Employee_ID,Vendor,Monthly_Cost,Last_Login,Days_Inactive,Status
TRDR_004,BLOOMBERG,2500,2026-03-04 12:52:07.315526,35.0,INACTIVE
TRDR_007,BLOOMBERG,2500,2026-03-03 12:52:07.315538,36.0,INACTIVE
TRDR_008,BLOOMBERG,2500,2026-02-23 12:52:07.315543,44.0,INACTIVE
TRDR_017,BLOOMBERG,2500,2026-02-25 12:52:07.315586,42.0,INACTIVE
TRDR_019,BLOOMBERG,2500,2026-02-23 12:52:07.315596,44.0,INACTIVE
TRDR_023,BLOOMBERG,2500,2026-02-23 12:52:07.315614,44.0,INACTIVE
TRDR_025,REFINITIV,1800,2026-03-06 12:52:07.315626,33.0,INACTIVE
TRDR_027,REFINITIV,1800,2026-02-23 12:52:07.315637,44.0,INACTIVE
TRDR_030,REFINITIV,1800,2026-02-23 12:52:07.315651,44.0,INACTIVE
TRDR_032,REFINITIV,1800,2026-02-28 12:52:07.315662,39.0,INACTIVE
TRDR_035,REFINITIV,1800,2026-03-04 12:52:07.315675,35.0,INACTIVE
TRDR_038,ICE,2200,2026-03-08 12:52:07.315688,31.0,INACTIVE
TRDR_040,ICE,2200,2026-03-02 12:52:07.315700,37.0,INACTIVE
TRDR_041,ICE,2200,2026-02-25 12:52:07.315705,42.0,INACTIVE
TRDR_044,ICE,2200,2026-02-26 12:52:07.315720,41.0,INACTIVE
