Employee_ID,Vendor,Monthly_Cost
TRDR_001,BLOOMBERG,2500
TRDR_002,BLOOMBERG,2500
TRDR_003,BLOOMBERG,2500
TRDR_004,BLOOMBERG,2500
TRDR_005,BLOOMBERG,2500
TRDR_006,BLOOMBERG,2500
TRDR_007,BLOOMBERG,2500
TRDR_008,BLOOMBERG,2500
TRDR_009,BLOOMBERG,2500
TRDR_010,BLOOMBERG,2500
TRDR_011,BLOOMBERG,2500
TRDR_012,BLOOMBERG,2500
TRDR_013,BLOOMBERG,2500
TRDR_014,BLOOMBERG,2500
TRDR_015,BLOOMBERG,2500
TRDR_016,BLOOMBERG,2500
TRDR_017,BLOOMBERG,2500
TRDR_018,BLOOMBERG,2500
TRDR_019,BLOOMBERG,2500
TRDR_020,BLOOMBERG,2500
TRDR_021,BLOOMBERG,2500
TRDR_022,BLOOMBERG,2500
TRDR_023,BLOOMBERG,2500
TRDR_024,BLOOMBERG,2500
TRDR_025,BLOOMBERG,2500
