Employee_ID,Vendor,Monthly_Cost
TRDR_021,REFINITIV,1800
TRDR_022,REFINITIV,1800
TRDR_023,REFINITIV,1800
TRDR_024,REFINITIV,1800
TRDR_025,REFINITIV,1800
TRDR_026,REFINITIV,1800
TRDR_027,REFINITIV,1800
TRDR_028,REFINITIV,1800
TRDR_029,REFINITIV,1800
TRDR_030,REFINITIV,1800
TRDR_031,REFINITIV,1800
TRDR_032,REFINITIV,1800
TRDR_033,REFINITIV,1800
TRDR_034,REFINITIV,1800
TRDR_035,REFINITIV,1800
TRDR_036,REFINITIV,1800
TRDR_037,REFINITIV,1800
TRDR_038,REFINITIV,1800
TRDR_039,REFINITIV,1800
TRDR_040,REFINITIV,1800
